test,layout,additional_stations_b,snapshots,median_nrmse,p90_nrmse,median_mae_mn,p90_peak_load_relative_error,median_peak_depth_error_z_over_l,p90_peak_depth_error_z_over_l
SKS02,uniform_3,3,1440,0.1843690683933937,0.2589295059152093,0.10759315374414015,0.3729303505595882,0.1428571428571429,0.5714285714285714
SKS02,static_transfer_3,3,1440,0.15933900563324432,0.30226742950351504,0.10858335942231345,0.0,0.0,0.0
SKS03,trained_SKS03_applied_all_3,3,1200,0.07208855378899613,0.10069846322188483,0.0879150560064935,0.11586798478894073,0.14285714285714285,0.28571428571428564
SKS03,pooled_robust_3,3,1200,0.07089953221192671,0.1288961893311281,0.10349465971334362,0.19348575158425438,0.14285714285714285,0.2857142857142857
SKS03,trained_SKS02_applied_all_3,3,1200,0.07089953221192671,0.1288961893311281,0.10349465971334362,0.19348575158425438,0.14285714285714285,0.2857142857142857
SKS03,uniform_3,3,1200,0.1491387514384118,0.17697217267391263,0.14483861365318618,0.14895372681507982,0.14285714285714285,0.14285714285714285
SKS03,static_transfer_3,3,1200,0.19067197606110167,0.24937377961617857,0.20538772348484852,0.06446492466467121,0.14285714285714285,0.1428571428571429
SKS02,pooled_robust_4,4,1440,0.04139992381488686,0.13134940650701782,0.03323258360389608,0.0,0.0,0.0
SKS02,trained_SKS02_applied_all_4,4,1440,0.04139992381488686,0.13134940650701782,0.03323258360389608,0.0,0.0,0.0
SKS02,uniform_4,4,1440,0.18415671916094473,0.24293117829861188,0.08737194530234069,0.3713508051069678,0.2857142857142857,0.5714285714285714
SKS02,trained_SKS03_applied_all_4,4,1440,0.11322872265897499,0.24508044674711005,0.06021961919201265,0.0,0.0,0.0
SKS02,static_transfer_4,4,1440,0.14181256434126355,0.2786109742177389,0.08002900297338669,0.0,0.0,0.0
SKS03,trained_SKS03_applied_all_4,4,1200,0.045529594025014386,0.07687001452923543,0.060835291450777235,0.09434822261599196,0.14285714285714285,0.2857142857142857
SKS03,pooled_robust_4,4,1200,0.04332317392037624,0.1079369079081392,0.06412015516284233,0.19348575158425438,0.14285714285714285,0.2857142857142857
SKS03,trained_SKS02_applied_all_4,4,1200,0.04332317392037624,0.1079369079081392,0.06412015516284233,0.19348575158425438,0.14285714285714285,0.2857142857142857
SKS03,uniform_4,4,1200,0.13678534086000965,0.17511298377827017,0.13111376676788236,0.07559714882853792,0.0,0.14285714285714285
SKS03,static_transfer_4,4,1200,0.18491522537428817,0.24937135350931566,0.19619232954545457,0.05878917576725064,0.0,0.1428571428571429
SKS02,pooled_robust_5,5,1440,0.028011890043610772,0.058747773863797155,0.015421120129870111,0.0,0.0,0.0
SKS02,trained_SKS02_applied_all_5,5,1440,0.028011890043610772,0.058747773863797155,0.015421120129870111,0.0,0.0,0.0
SKS02,static_transfer_5,5,1440,0.11271027966443167,0.24228053650897016,0.05522796544647062,0.0,0.0,0.0
SKS02,trained_SKS03_applied_all_5,5,1440,0.11271027966443167,0.24228053650897016,0.05522796544647062,0.0,0.0,0.0
SKS02,uniform_5,5,1440,0.11271027966443167,0.24228053650897016,0.05522796544647062,0.0,0.0,0.0
SKS03,static_transfer_5,5,1200,0.02375570912796158,0.04877473160515808,0.017466737824675352,0.05872445142884929,0.0,0.1428571428571429
SKS03,trained_SKS03_applied_all_5,5,1200,0.02375570912796158,0.04877473160515808,0.017466737824675352,0.05872445142884929,0.0,0.1428571428571429
SKS03,uniform_5,5,1200,0.02375570912796158,0.04877473160515808,0.017466737824675352,0.05872445142884929,0.0,0.1428571428571429
SKS03,pooled_robust_5,5,1200,0.024747118019223947,0.0703682097625644,0.03144902276091785,0.09434822261599196,0.14285714285714285,0.2857142857142857
SKS03,trained_SKS02_applied_all_5,5,1200,0.024747118019223947,0.0703682097625644,0.03144902276091785,0.09434822261599196,0.14285714285714285,0.2857142857142857
