test,source,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,events,median_delta,min_delta,max_delta,events_lower,events_higher
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,4,peak_load_error,5,-0.3039334810874649,-0.3363579508015063,-0.270536357726323,5,0
SKS02,SKS03,0,0.5,120,after_decay,boundary_retained,4,profile_nrmse,5,-0.05942718856803,-0.08659667682660623,-0.0324064787941286,5,0
SKS02,SKS03,0,0.5,120,after_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.28571428571428564,0,5
SKS02,SKS03,0,0.5,120,after_decay,original,2,peak_load_error,5,-0.08440763562744283,-0.18350041288898156,-0.03723333155847949,5,0
SKS02,SKS03,0,0.5,120,after_decay,original,2,profile_nrmse,5,0.012183314714288775,-0.04214642071675462,0.04483189230664666,2,3
SKS02,SKS03,0,0.5,120,after_decay,original,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.5,120,after_decay,original,3,peak_load_error,5,0.03775794512119762,-0.0013088258984070011,0.07613062953277495,1,4
SKS02,SKS03,0,0.5,120,after_decay,original,3,profile_nrmse,5,-0.0005632266354322207,-0.011945032171793046,0.008072489431555849,3,2
SKS02,SKS03,0,0.5,120,after_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.5,120,after_decay,original,4,peak_load_error,5,-0.3039334810874649,-0.3363579508015063,-0.270536357726323,5,0
SKS02,SKS03,0,0.5,120,after_decay,original,4,profile_nrmse,5,-0.05942718856803,-0.08659667682660623,-0.0324064787941286,5,0
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,2,peak_depth_error,5,0.4285714285714285,0.4285714285714285,0.4999999999999999,0,5
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,2,peak_load_error,5,-0.07565061480180665,-0.10436453785747024,0.0024992695617059024,4,1
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,2,profile_nrmse,5,-0.01912920589971398,-0.04134715629998345,-0.001348329775035212,5,0
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,3,peak_depth_error,5,0.35714285714285704,0.22857142857142973,0.35714285714285704,0,5
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,3,peak_load_error,5,0.028426790371145788,-0.029028356859632384,0.07649081358745205,1,4
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,3,profile_nrmse,5,-0.010272395629647935,-0.026365250476556176,-0.00012645164327632075,5,0
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.42857142857142855,-0.2142857142857143,5,0
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,4,peak_load_error,5,-0.33875411061833627,-0.3454212165136374,-0.27357135858523973,5,0
SKS02,SKS03,0,0.5,120,before_decay,boundary_retained,4,profile_nrmse,5,-0.061421815182504926,-0.095376704347589,-0.02264110916894483,5,0
SKS02,SKS03,0,0.5,120,before_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.4285714285714285,0,5
SKS02,SKS03,0,0.5,120,before_decay,original,2,peak_load_error,5,-0.09207349516028134,-0.20338089780130328,-0.02247526966910962,5,0
SKS02,SKS03,0,0.5,120,before_decay,original,2,profile_nrmse,5,0.007931878270822243,-0.043816202422285774,0.05544477034961941,2,3
SKS02,SKS03,0,0.5,120,before_decay,original,3,peak_depth_error,5,0.35714285714285704,0.22857142857142973,0.35714285714285704,0,5
SKS02,SKS03,0,0.5,120,before_decay,original,3,peak_load_error,5,0.028426790371145788,-0.029028356859632384,0.07649081358745205,1,4
SKS02,SKS03,0,0.5,120,before_decay,original,3,profile_nrmse,5,-0.010272395629647935,-0.026365250476556176,-0.00012645164327632075,5,0
SKS02,SKS03,0,0.5,120,before_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.42857142857142855,-0.2142857142857143,5,0
SKS02,SKS03,0,0.5,120,before_decay,original,4,peak_load_error,5,-0.33875411061833627,-0.3454212165136374,-0.27357135858523973,5,0
SKS02,SKS03,0,0.5,120,before_decay,original,4,profile_nrmse,5,-0.061421815182504926,-0.095376704347589,-0.02264110916894483,5,0
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,2,peak_depth_error,6,0.21428571428571425,0.21428571428571425,0.39999999999999747,0,6
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,2,peak_load_error,6,-0.09418797114751709,-0.11806733044399342,-0.051463624920253845,6,0
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,2,profile_nrmse,6,-0.005519857994211688,-0.04348078291625097,0.005971220919334497,5,1
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,3,peak_depth_error,6,0.1071428571428571,0.0714285714285714,0.4285714285714285,0,6
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,3,peak_load_error,6,0.021225926397733193,-0.0068723962672914835,0.06650388344247284,1,5
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,3,profile_nrmse,6,-0.009650264226766625,-0.027046357733588516,-0.0011368766118742407,6,0
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,4,peak_depth_error,6,-0.4642857142857143,-0.7142857142857142,-0.35714285714285715,6,0
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,4,peak_load_error,6,-0.32086091741907297,-0.3719609588753725,-0.27856282077001454,6,0
