pile,stage,reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,total_retained,reference_levels,measured_span_m,head_to_dfos_gap_m,candidate_realised_z,uniform_realised_z,candidate_nrmse,uniform_nrmse,delta_nrmse,delta_distance_weighted_nrmse,candidate_outside_sse_fraction,delta_squared_error_inside,delta_squared_error_outside
T2,Step 2,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.12118400173890767,0.04178657108752978,0.07939743065137789,0.07366966293890373,0.0,0.0129394447542024,0.0
T2,Step 3,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.1242846932415033,0.045520738858325575,0.07876395438317774,0.07333963230537813,0.0,0.013374547307926704,0.0
T2,Step 4,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.11432485925702171,0.04938713937670782,0.06493771988031388,0.061049541670438724,0.0,0.01063108390832346,0.0
T2,Step 5,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.11492651214016295,0.047562517015885736,0.06736399512427721,0.06334047070136598,0.0,0.010945910167816602,0.0
T2,Step 6,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.11770606960748978,0.052137914589402784,0.065568155018087,0.06156947799493123,0.0,0.01113635668471137,0.0
T2,Step 7,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.11588266871750501,0.055129090492200813,0.060753578225304194,0.0569015606606022,0.0,0.010389576290593746,0.0
T2,Step 8,0.4,boundary_constrained,linear,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.10585433457819697,0.052832270768896634,0.053022063809300336,0.049640865425080706,0.0,0.008413891314394857,0.0
T2,Step 1,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.10480313447257122,0.04171561625417506,0.06308751821839617,0.05496740673816925,0.0,0.009243504355810252,0.0
T2,Step 2,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.10425600138115683,0.02846947205443926,0.07578652932671756,0.06612430742682038,0.0,0.010058802984929277,0.0
T2,Step 3,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.1066083367096109,0.0256607557398157,0.0809475809697952,0.07125352499857052,0.0,0.010706863070851285,0.0
