source,case,depth,depth_unit,load_unit,load,digitisation_replicates,digitisation_range,quality_class,normalised_depth,figure_image,physical_depth,digitisation_kind,marker_colour,digitised_pixel_x_sd,digitised_pixels
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,190.2555910543131,,,,0.47000000000000003,fhwa_p10.png,4.559,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,190.01597444089458,,,,0.4799999999999999,fhwa_p10.png,4.655999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,189.29712460063897,,,,0.4899999999999998,fhwa_p10.png,4.752999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,189.29712460063897,,,,0.5,fhwa_p10.png,4.85,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,188.54206602768906,,,,0.5099999999999999,fhwa_p10.png,4.946999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,188.0990415335463,,,,0.5200000000000001,fhwa_p10.png,5.0440000000000005,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,187.7947284345048,,,,0.53,fhwa_p10.png,5.141,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,187.0560557653209,,,,0.5400000000000001,fhwa_p10.png,5.238000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,185.5591054313099,,,,0.55,fhwa_p10.png,5.335,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,185.22364217252397,,,,0.5599999999999999,fhwa_p10.png,5.431999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,184.42428115015974,,,,0.5700000000000002,fhwa_p10.png,5.529000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,183.326517571885,,,,0.5800000000000001,fhwa_p10.png,5.626,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,182.58785942492014,,,,0.59,fhwa_p10.png,5.722999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,181.82108626198084,,,,0.6000000000000001,fhwa_p10.png,5.82,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,180.79193290734827,,,,0.61,fhwa_p10.png,5.917,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,179.77955271565494,,,,0.6199999999999999,fhwa_p10.png,6.0139999999999985,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,179.5495207667731,,,,0.6300000000000001,fhwa_p10.png,6.111000000000001,published measured trace,,,
