test,event,piles,cross_regime,static_PRJ4809,uniform,additional_stations_b,training_test_for_cross_regime,cross_regime_minus_uniform,static_PRJ4809_minus_uniform,pga_g,input_motion_samples,input_motion_source_file,keller_sensor_count,median_sensor_peak_ru,p90_sensor_peak_ru,maximum_observed_ru,keller_source_file,median_absolute_final_soil_settlement_mm,median_absolute_final_pile_settlement_mm,settlement_source_file
SKS02,EQM_1,2,0.1461635186546904,0.1624550260255537,0.18903626084190506,4,SKS03,-0.04287274218721465,-0.026581234816351357,0.02626,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Input_Motion.txt,10,0.007514999999999999,0.02403099999999999,0.05824,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,2.762665,0.9534149999999999,PRJ2828\SKS02\SKS02_Processed_Data\EQM_1\EQM_1_Settlement.txt
SKS02,EQM_2,2,0.1582920714303957,0.17485976724069754,0.2019175719512586,4,SKS03,-0.04362550052086289,-0.027057804710561045,0.13858,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Input_Motion.txt,10,0.368005,0.7231279999999999,1.01822,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,25.195085,5.258625,PRJ2828\SKS02\SKS02_Processed_Data\EQM_2\EQM_2_Settlement.txt
SKS02,EQM_3,2,0.1690762424801514,0.17468046908396606,0.19440662996481906,4,SKS03,-0.02533038748466765,-0.019726160880852994,0.23596,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Input_Motion.txt,10,0.7238899999999999,1.0188949999999999,1.1021,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,72.309535,7.677810000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_3\EQM_3_Settlement.txt
SKS02,EQM_4,2,0.10050750956844369,0.15655593929744888,0.19712908526669098,4,SKS03,-0.0966215756982473,-0.04057314596924211,0.12231,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Input_Motion.txt,10,0.224105,0.4363279999999998,0.92924,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,26.97471,4.135585000000001,PRJ2828\SKS02\SKS02_Processed_Data\EQM_4\EQM_4_Settlement.txt
SKS02,EQM_5,2,0.1308464028490543,0.1824641138536447,0.19710214498151168,4,SKS03,-0.06625574213245738,-0.01463803112786699,0.31233,3750,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Input_Motion.txt,10,0.825975,1.1516319999999998,1.72882,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,84.69348,64.103765,PRJ2828\SKS02\SKS02_Processed_Data\EQM_5\EQM_5_Settlement.txt
SKS02,EQM_6,2,0.1287544245433955,0.16011884846655017,0.1921189191642671,4,SKS03,-0.0633644946208716,-0.03200007069771693,0.39314,11250,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Input_Motion.txt,10,0.681195,1.019045,1.10387,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Keller_Excess_Pore_Pressure_Ratio.txt,70.37016,35.349505,PRJ2828\SKS02\SKS02_Processed_Data\EQM_6\EQM_6_Settlement.txt
SKS03,EQM_1,2,0.0681063026303887,0.1681239877887308,0.12771250825255825,4,SKS02,-0.05960620562216956,0.04041147953617255,0.08533,3750,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Input_Motion.txt,11,0.27178,1.13582,1.16973,PRJ2828\SKS03\Processed_Data\EQM_1\EQM_1_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_2,2,0.05300429349682355,0.17891418080328295,0.13921685913470255,4,SKS02,-0.086212565637879,0.03969732166858039,0.12988,3750,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Input_Motion.txt,11,0.32848,1.15429,1.17911,PRJ2828\SKS03\Processed_Data\EQM_2\EQM_2_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_3,2,0.04416913034676895,0.18626424982683143,0.14777917460571127,4,SKS02,-0.10361004425894232,0.03848507522112016,0.18197,3750,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Input_Motion.txt,11,0.46351,1.15321,1.18051,PRJ2828\SKS03\Processed_Data\EQM_3\EQM_3_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_4,2,0.03520331740446915,0.20793888285102347,0.1524078792929203,4,SKS02,-0.11720456188845114,0.05553100355810317,0.4518,11250,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Input_Motion.txt,11,0.97209,1.23663,1.37256,PRJ2828\SKS03\Processed_Data\EQM_4\EQM_4_Keller_Excess_Pore_Pressure_Ratio.txt,,,
SKS03,EQM_5,2,0.08650399757972164,0.20537489285700283,0.1551237654995889,4,SKS02,-0.06861976791986725,0.05025112735741394,0.67726,11250,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Input_Motion.txt,11,1.05061,1.51094,1.64135,PRJ2828\SKS03\Processed_Data\EQM_5\EQM_5_Keller_Excess_Pore_Pressure_Ratio.txt,,,
