case,evidence_class,layout_family,interpolator,layout_source,additional_stations_b,total_retained_stations,candidate_requested_depths,candidate_realised_depths,candidate_unique_levels,uniform_requested_depths,uniform_realised_depths,uniform_unique_levels,candidate_nrmse,uniform_nrmse,delta_nrmse,candidate_retains_deepest_level
Turrell H-pile post-blast,marked driven-pile profile,original,linear,SKS02,2,3,0.000;0.143;0.429,0.000;0.188;0.424,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.2082292615558539,0.1468104424491678,0.06141881910668609,0
Turrell H-pile post-blast,marked driven-pile profile,original,pchip,SKS02,2,3,0.000;0.143;0.429,0.000;0.188;0.424,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.20810995933445617,0.07654374750016281,0.13156621183429335,0
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS02,2,3,0.000;0.143;1.000,0.000;0.188;1.000,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.2251173253757918,0.1468104424491678,0.078306882926624,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS02,2,3,0.000;0.143;1.000,0.000;0.188;1.000,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.11491121453611608,0.07654374750016281,0.03836746703595327,1
Turrell H-pile post-blast,marked driven-pile profile,original,linear,SKS03,2,3,0.000;0.143;0.714,0.000;0.188;0.729,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.20821935478128922,0.1468104424491678,0.061408912332121424,0
Turrell H-pile post-blast,marked driven-pile profile,original,pchip,SKS03,2,3,0.000;0.143;0.714,0.000;0.188;0.729,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.2070016012175922,0.07654374750016281,0.1304578537174294,0
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS03,2,3,0.000;0.143;1.000,0.000;0.188;1.000,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.2251173253757918,0.1468104424491678,0.078306882926624,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS03,2,3,0.000;0.143;1.000,0.000;0.188;1.000,3,0.000;0.500;1.000,0.000;0.424;1.000,3,0.11491121453611608,0.07654374750016281,0.03836746703595327,1
Turrell H-pile post-blast,marked driven-pile profile,original,linear,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.188;0.729;0.847,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.10093868356711494,0.02463794516428228,0.07630073840283266,0
Turrell H-pile post-blast,marked driven-pile profile,original,pchip,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.188;0.729;0.847,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.09840213941461251,0.041024389970265585,0.057377749444346926,0
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS02,3,4,0.000;0.143;0.429;1.000,0.000;0.188;0.424;1.000,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.14420677780262448,0.02463794516428228,0.1195688326383422,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS02,3,4,0.000;0.143;0.429;1.000,0.000;0.188;0.424;1.000,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.07599911747881201,0.041024389970265585,0.034974727508546424,1
Turrell H-pile post-blast,marked driven-pile profile,original,linear,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.188;0.424;1.000,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.14420677780262448,0.02463794516428228,0.1195688326383422,1
Turrell H-pile post-blast,marked driven-pile profile,original,pchip,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.188;0.424;1.000,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.07599911747881201,0.041024389970265585,0.034974727508546424,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.188;0.424;1.000,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.14420677780262448,0.02463794516428228,0.1195688326383422,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.188;0.424;1.000,4,0.000;0.333;0.667;1.000,0.000;0.294;0.647;1.000,4,0.07599911747881201,0.041024389970265585,0.034974727508546424,1
Turrell H-pile post-blast,marked driven-pile profile,original,linear,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.188;0.729;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.03907351958135056,0.03023675315950004,0.00883676642185052,1
Turrell H-pile post-blast,marked driven-pile profile,original,pchip,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.188;0.729;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.031954704404592145,0.052061606946233796,-0.02010690254164165,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.188;0.729;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.03907351958135056,0.03023675315950004,0.00883676642185052,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.188;0.729;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.031954704404592145,0.052061606946233796,-0.02010690254164165,1
Turrell H-pile post-blast,marked driven-pile profile,original,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.188;0.647;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.022250581037167337,0.03023675315950004,-0.007986172122332703,1
