reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,pile,stages,median_paired_delta,median_candidate_nrmse,median_uniform_nrmse,median_distance_weighted_delta,median_outside_sse_fraction,median_delta_squared_error_inside,median_delta_squared_error_outside
0.2,original,linear,SKS03,3,T3,6,0.005629964905797164,0.044046168977735056,0.03567421576257008,0.005591413162718328,0.0,0.0005128983546987815,0.0
0.2,original,linear,SKS03,4,F1,12,-0.012832704644700738,0.032690225812909576,0.04521688300855199,-0.013089695404515544,0.0,-0.000981521545826795,0.0
0.2,original,linear,SKS03,4,F2,12,-0.014986154290441717,0.04330574675887501,0.05418144625682509,-0.016769494812491906,0.0,-0.001430334399520693,0.0
0.2,original,linear,SKS03,4,T1,15,-0.027791816437909102,0.024138402541991944,0.051709368105864455,-0.02568385630767191,0.0,-0.001934887220898356,0.0
0.2,original,linear,SKS03,4,T2,8,0.003306036653264413,0.025774971457342574,0.025534200490468784,0.002415640524408,0.0,0.0001604667586233803,0.0
0.2,original,linear,SKS03,4,T3,6,0.006556336921968654,0.03949258784371405,0.03385703777149804,0.006490931820684796,0.0,0.0005110522884726801,0.0
0.2,original,pchip,SKS02,2,F1,12,0.14725128831621426,0.18680086677811747,0.04090713863881105,0.13576113569210846,0.9863430568344562,0.00017470627309305338,0.03307215363445591
0.2,original,pchip,SKS02,2,F2,12,0.15503542439041487,0.20467104303447126,0.04947872435071427,0.1406901404295269,0.9921328566324219,7.218932965201639e-05,0.03949425993413198
0.2,original,pchip,SKS02,2,T1,15,0.14803417729268498,0.2133275403739715,0.06479445993207568,0.1207323122370767,0.9983171531973345,7.082510375364981e-06,0.04109954464889855
0.2,original,pchip,SKS02,2,T2,8,0.21192555194876614,0.24466831004390968,0.028886604849451242,0.18922577509798813,0.9976614587281222,-2.385641062591937e-06,0.05922713418823358
0.2,original,pchip,SKS02,2,T3,6,0.1680072025717055,0.20584155516909147,0.040993213243340196,0.16323128764849104,0.9900604430122311,-4.7973649251782866e-05,0.04117937842981037
0.2,original,pchip,SKS02,3,F1,12,0.03580261656088978,0.07799297088157939,0.043540948217715494,0.030848498280571648,0.34541070068482854,0.0028558953877861754,0.001422023581691041
0.2,original,pchip,SKS02,3,F2,12,0.023885090448684587,0.07455969896383059,0.04883946242006388,0.012889624918140316,0.22882352971849662,0.001955656283296552,0.0007374878219354292
0.2,original,pchip,SKS02,3,T1,15,0.05762597629805787,0.09939843440825047,0.04350943349392678,0.041070579637524085,0.8619012658206927,0.00047179648355863494,0.0071548860678499315
0.2,original,pchip,SKS02,3,T2,8,0.038291783764018164,0.05549280678617097,0.018975531155331946,0.031116989035679242,0.8292749599576554,0.0002914814255584895,0.002267596823057834
0.2,original,pchip,SKS02,3,T3,6,0.017524854770296205,0.051798529057337825,0.03622273462011272,0.015928521861261594,0.22941571679503642,0.0012341224328476725,-2.3973553951647542e-05
0.2,original,pchip,SKS02,4,F1,12,0.018314201412625037,0.06298210018252326,0.046476064892374755,0.015481574688971968,0.0,0.001987408921159126,0.0
0.2,original,pchip,SKS02,4,F2,12,0.005517811190581187,0.06526164748524921,0.058344481325645584,0.0014976916943694463,0.0,0.0006939556603814301,0.0
0.2,original,pchip,SKS02,4,T1,15,0.004216657197979132,0.03800649446786836,0.03290850647867807,0.0037779180101411187,0.0,0.0002919280572015084,0.0
0.2,original,pchip,SKS02,4,T2,8,0.004872112323124591,0.028142424369375772,0.02077565953188197,0.0035981985845875385,0.0,0.00020482406721840244,0.0
0.2,original,pchip,SKS02,4,T3,6,0.013001442127488171,0.04770507780093043,0.034249760626638856,0.012907984491355086,0.0,0.0010902235125254784,0.0
0.2,original,pchip,SKS03,2,F1,12,0.017537004963769857,0.059153385437398585,0.04090713863881105,0.012039487345330006,0.6725437553171896,0.0001431008426738685,0.0016000224334918056
0.2,original,pchip,SKS03,2,F2,12,0.023393555995581985,0.07200115430586636,0.04947872435071427,0.017734375955984438,0.25117538883166873,0.00302087449279175,0.0006614068231810338
0.2,original,pchip,SKS03,2,T1,15,0.06002709805408936,0.1288762001902851,0.06479445993207568,0.041708283248004574,0.9259326586173927,0.0010660848343585013,0.01068346918371584
0.2,original,pchip,SKS03,2,T2,8,0.1018534452075806,0.1323719141939404,0.028886604849451242,0.08684578249504976,0.9283411079493104,0.0007132173808198255,0.015955226446665614
0.2,original,pchip,SKS03,2,T3,6,0.022981778495448944,0.06179484816867932,0.040993213243340196,0.02030301626426457,0.6895794372414551,-2.1125169015064705e-06,0.001964028450787528
0.2,original,pchip,SKS03,3,F1,12,0.0021134912202575296,0.044856256803448694,0.043540948217715494,0.0015406945304416338,0.0,0.00018239756691608834,0.0
0.2,original,pchip,SKS03,3,F2,12,-0.00031146126777393743,0.05009031431876643,0.04883946242006388,-0.0007141837111024583,0.0,-3.055397457934587e-05,0.0
0.2,original,pchip,SKS03,3,T1,15,0.019574884325751364,0.0642710356279748,0.04350943349392678,0.017138589236470554,0.0,0.0019013132235203168,0.0
0.2,original,pchip,SKS03,3,T2,8,0.005720411280193426,0.027805923147645253,0.018975531155331946,0.0036802178940925235,0.0,0.0002755558446711806,0.0
0.2,original,pchip,SKS03,3,T3,6,0.012612743901271865,0.04633572185983306,0.03622273462011272,0.012539047579333759,0.0,0.0010290289902408255,0.0
0.2,original,pchip,SKS03,4,F1,12,-0.009735975273579691,0.037297518851526365,0.046476064892374755,-0.010973211085037213,0.0,-0.0008209776900800706,0.0
0.2,original,pchip,SKS03,4,F2,12,-0.006456085084484826,0.05144894683597911,0.058344481325645584,-0.010714571215705182,0.0,-0.0007076974348224543,0.0
0.2,original,pchip,SKS03,4,T1,15,-0.011080120585483789,0.022988725458566974,0.03290850647867807,-0.010801365216643665,0.0,-0.0005622059251489625,0.0
0.2,original,pchip,SKS03,4,T2,8,0.00597746394333099,0.0255301092288574,0.02077565953188197,0.004347224265584836,0.0,0.00023681339512135891,0.0
0.2,original,pchip,SKS03,4,T3,6,0.005687910960022153,0.03940022918006186,0.034249760626638856,0.005629264469943714,0.0,0.00043479705206735564,0.0
0.4,boundary_constrained,linear,SKS02,2,F1,12,0.013340706533008485,0.05525236924076716,0.042816373734656146,0.012388848309925746,0.0,0.0012987840772798113,0.0
0.4,boundary_constrained,linear,SKS02,2,F2,12,0.004881034317371802,0.05213629554913003,0.049868903764950095,0.001851865663679536,0.0,0.0004980590554399423,0.0
0.4,boundary_constrained,linear,SKS02,2,T1,15,0.08219295870549706,0.1849861324737669,0.10146716635477782,0.07580527410860224,0.0,0.023337363871052598,0.0
0.4,boundary_constrained,linear,SKS02,2,T2,8,0.06525293744920044,0.11540459042883397,0.04847482819629678,0.061309509832684975,0.0,0.01078849703807003,0.0
0.4,boundary_constrained,linear,SKS02,2,T3,6,0.024264248829683432,0.06388777030153442,0.04376984486436447,0.02445355937156955,0.0,0.002762678198126008,0.0
0.4,boundary_constrained,linear,SKS02,3,F1,12,-9.155087160010733e-05,0.04422407781322503,0.04608902502387367,-0.0009915441980239727,0.0,-9.31578639552087e-06,0.0
0.4,boundary_constrained,linear,SKS02,3,F2,12,-0.0030955995618191547,0.043176266653499745,0.04931471647541764,-0.004496076662251394,0.0,-0.0002883793521158943,0.0
0.4,boundary_constrained,linear,SKS02,3,T1,15,0.051230583792138976,0.11602303333138632,0.06796756291020223,0.04720137554279183,0.0,0.009302057531651317,0.0
