test,event,pile,smoothed,eta,sampling_cap,phase,lower_s,upper_s,snapshots,max_nearest_offset_s,source_overlap_rows_removed
SKS02,EQM_4,2,0,0.5,240,shaking,2.5307524161660755,13.185691277081746,240,0.004177405857744176,1
SKS02,EQM_4,2,0,0.5,240,before_decay,13.185691277081746,1961.6208000000001,80,19.86257573221758,1
SKS02,EQM_4,2,0,0.5,240,after_decay,1961.6208000000001,43162.4214,240,19.998027615059982,1
SKS02,EQM_4,2,0,0.75,120,shaking,2.5307524161660755,13.185691277081746,120,0.0041949579831950246,1
SKS02,EQM_4,2,0,0.75,120,before_decay,13.185691277081746,1201.2204000000002,54,19.966860504201804,1
SKS02,EQM_4,2,0,0.75,120,after_decay,1201.2204000000002,43162.4214,120,19.856984873946203,1
SKS02,EQM_4,2,0,0.75,240,shaking,2.5307524161660755,13.185691277081746,240,0.004177405857744176,1
SKS02,EQM_4,2,0,0.75,240,before_decay,13.185691277081746,1201.2204000000002,85,19.914466945606648,1
SKS02,EQM_4,2,0,0.75,240,after_decay,1201.2204000000002,43162.4214,240,19.949292050208896,1
SKS02,EQM_4,2,1,0.25,120,shaking,4.0307524161660755,11.685691277081746,120,0.00405882352941056,1
SKS02,EQM_4,2,1,0.25,120,before_decay,14.685691277081746,3239.7203999999997,85,19.79930924369728,1
SKS02,EQM_4,2,1,0.25,120,after_decay,3242.7203999999997,43162.4214,120,19.918331092438166,1
SKS02,EQM_4,2,1,0.25,240,shaking,4.0307524161660755,11.685691277081746,240,0.00039916317991739447,1
SKS02,EQM_4,2,1,0.25,240,before_decay,14.685691277081746,3239.7203999999997,96,13.908168200836826,1
SKS02,EQM_4,2,1,0.25,240,after_decay,3242.7203999999997,43162.4214,240,20.055461924683186,1
SKS02,EQM_4,2,1,0.5,120,shaking,4.0307524161660755,11.685691277081746,120,0.00405882352941056,1
SKS02,EQM_4,2,1,0.5,120,before_decay,14.685691277081746,1960.1208000000001,61,17.903581512605115,1
SKS02,EQM_4,2,1,0.5,120,after_decay,1963.1208000000001,43162.4214,120,19.327512605042102,1
SKS02,EQM_4,2,1,0.5,240,shaking,4.0307524161660755,11.685691277081746,240,0.00039916317991739447,1
SKS02,EQM_4,2,1,0.5,240,before_decay,14.685691277081746,1960.1208000000001,80,19.950185774058582,1
SKS02,EQM_4,2,1,0.5,240,after_decay,1963.1208000000001,43162.4214,240,19.946909623435204,1
SKS02,EQM_4,2,1,0.75,120,shaking,4.0307524161660755,11.685691277081746,120,0.00405882352941056,1
SKS02,EQM_4,2,1,0.75,120,before_decay,14.685691277081746,1199.7204000000002,54,19.88033949579824,1
SKS02,EQM_4,2,1,0.75,120,after_decay,1202.7204000000002,43162.4214,120,19.86578823529635,1
SKS02,EQM_4,2,1,0.75,240,shaking,4.0307524161660755,11.685691277081746,240,0.00039916317991739447,1
SKS02,EQM_4,2,1,0.75,240,before_decay,14.685691277081746,1199.7204000000002,86,19.77260585774053,1
SKS02,EQM_4,2,1,0.75,240,after_decay,1202.7204000000002,43162.4214,240,19.925422594144038,1
SKS02,EQM_5,1,0,0.25,120,shaking,4.514051337377206,14.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,1,0,0.25,120,before_decay,14.93633132139194,1681.9109999999998,57,19.795068907562836,1
SKS02,EQM_5,1,0,0.25,120,after_decay,1681.9109999999998,43163.4738,120,17.52639327730867,1
SKS02,EQM_5,1,0,0.25,240,shaking,4.514051337377206,14.93633132139194,240,0.004182426778241322,1
SKS02,EQM_5,1,0,0.25,240,before_decay,14.93633132139194,1681.9109999999998,80,19.91501422594149,1
SKS02,EQM_5,1,0,0.25,240,after_decay,1681.9109999999998,43163.4738,240,19.964952301255835,1
SKS02,EQM_5,1,0,0.5,120,shaking,4.514051337377206,14.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,1,0,0.5,120,before_decay,14.93633132139194,681.8718,65,19.888759663865585,1
SKS02,EQM_5,1,0,0.5,120,after_decay,681.8718,43163.4738,120,19.928319327729696,1
SKS02,EQM_5,1,0,0.5,240,shaking,4.514051337377206,14.93633132139194,240,0.004182426778241322,1
SKS02,EQM_5,1,0,0.5,240,before_decay,14.93633132139194,681.8718,120,19.563602510460214,1
SKS02,EQM_5,1,0,0.5,240,after_decay,681.8718,43163.4738,240,19.9417004184088,1
SKS02,EQM_5,1,0,0.75,120,shaking,4.514051337377206,14.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,1,0,0.75,120,before_decay,14.93633132139194,84.552,120,0.004129411764704827,1
SKS02,EQM_5,1,0,0.75,120,after_decay,84.552,43163.4738,120,19.55006218487688,1
SKS02,EQM_5,1,0,0.75,240,shaking,4.514051337377206,14.93633132139194,240,0.004182426778241322,1
SKS02,EQM_5,1,0,0.75,240,before_decay,14.93633132139194,84.552,240,0.004184937238498776,1
SKS02,EQM_5,1,0,0.75,240,after_decay,84.552,43163.4738,240,20.079100418410235,1
SKS02,EQM_5,1,1,0.25,120,shaking,7.514051337377206,11.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,1,1,0.25,120,before_decay,17.93633132139194,1678.9109999999998,57,19.77068067226901,1
SKS02,EQM_5,1,1,0.25,120,after_decay,1684.9109999999998,43163.4738,120,19.20871260503918,1
SKS02,EQM_5,1,1,0.25,240,shaking,7.514051337377206,11.93633132139194,240,0.004182426778241322,1
SKS02,EQM_5,1,1,0.25,240,before_decay,17.93633132139194,1678.9109999999998,79,19.917135564853538,1
SKS02,EQM_5,1,1,0.25,240,after_decay,1684.9109999999998,43163.4738,240,19.954666945606732,1
SKS02,EQM_5,1,1,0.5,120,shaking,7.514051337377206,11.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,1,1,0.5,120,before_decay,17.93633132139194,678.8718,67,19.737352941176482,1
SKS02,EQM_5,1,1,0.5,120,after_decay,684.8718,43163.4738,120,19.910929411764755,1
SKS02,EQM_5,1,1,0.5,240,shaking,7.514051337377206,11.93633132139194,240,0.004182426778241322,1
SKS02,EQM_5,1,1,0.5,240,before_decay,17.93633132139194,678.8718,126,19.953366527196636,1
SKS02,EQM_5,1,1,0.5,240,after_decay,684.8718,43163.4738,240,19.90770627614984,1
SKS02,EQM_5,1,1,0.75,120,shaking,7.514051337377206,11.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,1,1,0.75,120,before_decay,17.93633132139194,81.552,120,0.004089075630254513,1
SKS02,EQM_5,1,1,0.75,120,after_decay,87.552,43163.4738,120,19.808657142857555,1
SKS02,EQM_5,1,1,0.75,240,shaking,7.514051337377206,11.93633132139194,240,0.004182426778241322,1
SKS02,EQM_5,1,1,0.75,240,before_decay,17.93633132139194,81.552,240,0.004159832635977523,1
SKS02,EQM_5,1,1,0.75,240,after_decay,87.552,43163.4738,240,19.90198242677434,1
SKS02,EQM_5,2,0,0.25,120,shaking,4.514051337377206,14.93633132139194,120,0.004164705882354625,1
SKS02,EQM_5,2,0,0.25,120,before_decay,14.93633132139194,1681.9109999999998,57,19.795068907562836,1
SKS02,EQM_5,2,0,0.25,120,after_decay,1681.9109999999998,43163.4738,120,17.52639327730867,1
SKS02,EQM_5,2,0,0.25,240,shaking,4.514051337377206,14.93633132139194,240,0.004182426778241322,1
