case,layout_source,additional_stations_b,pixel_scenario,draws,seed,nominal_delta_nrmse,min_delta_nrmse,max_delta_nrmse,median_delta_nrmse,draws_lower,draws_equivalent,draws_higher,draws_same_class,draws_changed_mapping,load_bound_max,normalised_depth_bound
Turrell pipe pile post-blast,SKS02,2,1,2000,20260827,0.005624614710911469,0.003778734579490295,0.007535829049798645,0.005605994177024724,0,396,1604,1604,0,0.6522907115739542,0.0
Turrell pipe pile post-blast,SKS03,2,1,2000,20260827,0.014558125635486238,0.012880330582539803,0.016408596268420186,0.01454008905864021,0,0,2000,2000,0,0.6522907115739542,0.0
Turrell pipe pile post-blast,SKS02,3,1,2000,20260827,0.078318649595943,0.07712566925768613,0.07951866593341388,0.07831405035999195,0,0,2000,2000,0,0.6522907115739542,0.0
Turrell pipe pile post-blast,SKS03,3,1,2000,20260827,0.039203928308372105,0.037309473847710425,0.040839249316838064,0.03919086592694488,0,0,2000,2000,0,0.6522907115739542,0.0
Turrell pipe pile post-blast,SKS02,4,1,2000,20260827,0.020723578473772673,0.01845501430462662,0.022995979121604542,0.020703930577103714,0,0,2000,2000,0,0.6522907115739542,0.0
Turrell pipe pile post-blast,SKS03,4,1,2000,20260827,0.00911224361182343,0.007284891158888916,0.011061471339874753,0.009092189117953332,0,0,2000,2000,0,0.6522907115739542,0.0
Turrell pipe pile post-blast,SKS02,2,2,2000,20260827,0.005624614710911469,0.0025293644639395596,0.008857712225518857,0.005607254788467041,0,657,1343,1343,0,0.7782101167315175,0.0
Turrell pipe pile post-blast,SKS03,2,2,2000,20260827,0.014558125635486238,0.011874125461885765,0.017564613687725494,0.01451899996986742,0,0,2000,2000,0,0.7782101167315175,0.0
Turrell pipe pile post-blast,SKS02,3,2,2000,20260827,0.078318649595943,0.07608919902806996,0.08052716660858508,0.07830771727945046,0,0,2000,2000,0,0.7782101167315175,0.0
Turrell pipe pile post-blast,SKS03,3,2,2000,20260827,0.039203928308372105,0.035570897954214684,0.04230548603042682,0.0391886475632561,0,0,2000,2000,0,0.7782101167315175,0.0
Turrell pipe pile post-blast,SKS02,4,2,2000,20260827,0.020723578473772673,0.016824804449058792,0.024502881009180542,0.020694738465984623,0,0,2000,2000,0,0.7782101167315175,0.0
Turrell pipe pile post-blast,SKS03,4,2,2000,20260827,0.00911224361182343,0.005742568285741725,0.012609984634429378,0.009066123689939056,0,0,2000,2000,0,0.7782101167315175,0.0
Turrell pipe pile post-blast,SKS02,2,4,2000,20260827,0.005624614710911469,-0.000440685363304133,0.012200641858826244,0.0055784482532212284,0,833,1167,1167,0,1.556420233463035,0.0
Turrell pipe pile post-blast,SKS03,2,4,2000,20260827,0.014558125635486238,0.009227019521406143,0.02060579439122695,0.014485664738782926,0,0,2000,2000,0,1.556420233463035,0.0
Turrell pipe pile post-blast,SKS02,3,4,2000,20260827,0.078318649595943,0.07378674530857934,0.08274334211217851,0.07827552257082966,0,0,2000,2000,0,1.556420233463035,0.0
Turrell pipe pile post-blast,SKS03,3,4,2000,20260827,0.039203928308372105,0.03193412452527067,0.04539508917488686,0.039143171795498526,0,0,2000,2000,0,1.556420233463035,0.0
Turrell pipe pile post-blast,SKS02,4,4,2000,20260827,0.020723578473772673,0.01255694522631054,0.028183941279863345,0.020611348735171557,0,0,2000,2000,0,1.556420233463035,0.0
Turrell pipe pile post-blast,SKS03,4,4,2000,20260827,0.00911224361182343,0.002537186428845123,0.016270347249649687,0.008961914249807357,0,94,1906,1906,0,1.556420233463035,0.0
Christchurch 12-m CFA pile post-blast,SKS02,2,1,2000,20260827,0.08885951801834313,0.08629844683192542,0.09129545030051664,0.08886255932132568,0,0,2000,2000,0,0.4792332268370607,0.0011641443538998836
Christchurch 12-m CFA pile post-blast,SKS03,2,1,2000,20260827,0.04312640315110683,0.038663489997884055,0.04492353139701645,0.04310974856307072,0,0,2000,2000,43,0.4792332268370607,0.0011641443538998836
Christchurch 12-m CFA pile post-blast,SKS02,3,1,2000,20260827,0.020399258909909082,0.019517823501229457,0.021155901006596447,0.020387278796074243,0,0,2000,2000,43,0.4792332268370607,0.0011641443538998836
Christchurch 12-m CFA pile post-blast,SKS03,3,1,2000,20260827,0.023738036285983692,0.02215785510720627,0.025340439082653845,0.023720401248842168,0,0,2000,2000,0,0.4792332268370607,0.0011641443538998836
Christchurch 12-m CFA pile post-blast,SKS02,4,1,2000,20260827,0.0064174911801359695,0.005633492401802869,0.007167647365427325,0.006411700250869245,0,0,2000,2000,43,0.4792332268370607,0.0011641443538998836
Christchurch 12-m CFA pile post-blast,SKS03,4,1,2000,20260827,0.00908046674204106,0.008205586503978644,0.009844216862106089,0.009074463626919278,0,0,2000,2000,0,0.4792332268370607,0.0011641443538998836
Christchurch 12-m CFA pile post-blast,SKS02,2,2,2000,20260827,0.08885951801834313,0.08357147594599747,0.0937055386758249,0.08883890834988045,0,0,2000,2000,17,0.9584664536741214,0.002328288707799767
Christchurch 12-m CFA pile post-blast,SKS03,2,2,2000,20260827,0.04312640315110683,0.0370358131141463,0.0466856389817962,0.0426022052767753,0,0,2000,2000,498,0.9584664536741214,0.002328288707799767
Christchurch 12-m CFA pile post-blast,SKS02,3,2,2000,20260827,0.020399258909909082,0.01843451304260402,0.024016753113087482,0.020303811399831187,0,0,2000,2000,656,0.9584664536741214,0.002328288707799767
Christchurch 12-m CFA pile post-blast,SKS03,3,2,2000,20260827,0.023738036285983692,0.020595989679140274,0.026901396268482487,0.023633944717087206,0,0,2000,2000,168,0.9584664536741214,0.002328288707799767
Christchurch 12-m CFA pile post-blast,SKS02,4,2,2000,20260827,0.0064174911801359695,0.003637158265321702,0.0078115254884453585,0.0063579634848839085,0,21,1979,1979,520,0.9584664536741214,0.002328288707799767
Christchurch 12-m CFA pile post-blast,SKS03,4,2,2000,20260827,0.00908046674204106,0.006570507760275955,0.0105871939755342,0.009039543395556453,0,0,2000,2000,44,0.9584664536741214,0.002328288707799767
Christchurch 12-m CFA pile post-blast,SKS02,2,4,2000,20260827,0.08885951801834313,0.07847067255958684,0.09844082560433881,0.08865001998029104,0,0,2000,2000,373,1.9169329073482428,0.004656577415599534
Christchurch 12-m CFA pile post-blast,SKS03,2,4,2000,20260827,0.04312640315110683,0.034047250376190226,0.05008171167467699,0.04166691699336735,0,0,2000,2000,955,1.9169329073482428,0.004656577415599534
Christchurch 12-m CFA pile post-blast,SKS02,3,4,2000,20260827,0.020399258909909082,0.01622660637887398,0.025753313865087002,0.02020264905152188,0,0,2000,2000,1570,1.9169329073482428,0.004656577415599534
Christchurch 12-m CFA pile post-blast,SKS03,3,4,2000,20260827,0.023738036285983692,0.016632474110120338,0.029486219628212032,0.023301070144890357,0,0,2000,2000,1016,1.9169329073482428,0.004656577415599534
Christchurch 12-m CFA pile post-blast,SKS02,4,4,2000,20260827,0.0064174911801359695,0.001961995534346103,0.009198296359236458,0.0060210495145349655,0,392,1608,1608,1141,1.9169329073482428,0.004656577415599534
Christchurch 12-m CFA pile post-blast,SKS03,4,4,2000,20260827,0.00908046674204106,0.004060840238084399,0.012005908024833777,0.008661842117338487,0,4,1996,1996,632,1.9169329073482428,0.004656577415599534
Christchurch 14-m CFA pile post-blast,SKS02,2,1,2000,20260827,0.17314182859051636,0.17092926058689178,0.17560836187973786,0.17311617671751595,0,0,2000,2000,0,0.45941807044410415,0.0008326394671107411
Christchurch 14-m CFA pile post-blast,SKS03,2,1,2000,20260827,0.0832550416979275,0.08175280565830398,0.08497486030598445,0.08324097825136886,0,0,2000,2000,0,0.45941807044410415,0.0008326394671107411
Christchurch 14-m CFA pile post-blast,SKS02,3,1,2000,20260827,0.020740789989558427,0.0199676799797463,0.02149028563671438,0.020730253576293763,0,0,2000,2000,0,0.45941807044410415,0.0008326394671107411
Christchurch 14-m CFA pile post-blast,SKS03,3,1,2000,20260827,0.027161953309392788,0.025891152477323664,0.028554746712335412,0.027154342382259743,0,0,2000,2000,0,0.45941807044410415,0.0008326394671107411
Christchurch 14-m CFA pile post-blast,SKS02,4,1,2000,20260827,0.0023867776911973976,0.0013207332572346825,0.0033728904264222342,0.0023795032804926064,0,2000,0,2000,0,0.45941807044410415,0.0008326394671107411
Christchurch 14-m CFA pile post-blast,SKS03,4,1,2000,20260827,-0.0021463128306605447,-0.0027287634346296608,-0.00156913862326985,-0.0021486429049554744,0,2000,0,2000,0,0.45941807044410415,0.0008326394671107411
Christchurch 14-m CFA pile post-blast,SKS02,2,2,2000,20260827,0.17314182859051636,0.16869067037011762,0.1780524249254717,0.17307061852017783,0,0,2000,2000,0,0.9188361408882083,0.0016652789342214821
Christchurch 14-m CFA pile post-blast,SKS03,2,2,2000,20260827,0.0832550416979275,0.07560944121614711,0.08664861890896752,0.0829437857486809,0,0,2000,2000,297,0.9188361408882083,0.0016652789342214821
Christchurch 14-m CFA pile post-blast,SKS02,3,2,2000,20260827,0.020740789989558427,0.01917309285962788,0.023095143279588167,0.020800165625476052,0,0,2000,2000,297,0.9188361408882083,0.0016652789342214821
Christchurch 14-m CFA pile post-blast,SKS03,3,2,2000,20260827,0.027161953309392788,0.024626263167366637,0.0299387212257962,0.027134782078431445,0,0,2000,2000,0,0.9188361408882083,0.0016652789342214821
Christchurch 14-m CFA pile post-blast,SKS02,4,2,2000,20260827,0.0023867776911973976,0.000285838427892815,0.0060193274779355155,0.002489334321517954,0,1962,38,1962,297,0.9188361408882083,0.0016652789342214821
Christchurch 14-m CFA pile post-blast,SKS03,4,2,2000,20260827,-0.0021463128306605447,-0.0033311500389872593,-0.0010011300512371632,-0.0021477336633741635,0,2000,0,2000,0,0.9188361408882083,0.0016652789342214821
Christchurch 14-m CFA pile post-blast,SKS02,2,4,2000,20260827,0.17314182859051636,0.16414667633068605,0.1828983530338627,0.17292206636400861,0,0,2000,2000,192,1.8376722817764166,0.0033305578684429643
Christchurch 14-m CFA pile post-blast,SKS03,2,4,2000,20260827,0.0832550416979275,0.07267370348549436,0.08884007067839794,0.0818503581403994,0,0,2000,2000,770,1.8376722817764166,0.0033305578684429643
Christchurch 14-m CFA pile post-blast,SKS02,3,4,2000,20260827,0.020740789989558427,0.01777902343965624,0.02799832915596179,0.021313479703614496,0,0,2000,2000,1233,1.8376722817764166,0.0033305578684429643
Christchurch 14-m CFA pile post-blast,SKS03,3,4,2000,20260827,0.027161953309392788,0.022119910239654178,0.032672936030636826,0.02717319396355778,0,0,2000,2000,631,1.8376722817764166,0.0033305578684429643
Christchurch 14-m CFA pile post-blast,SKS02,4,4,2000,20260827,0.0023867776911973976,-0.0016821125124554942,0.00909291547727075,0.002969001589136818,0,1702,298,1702,887,1.8376722817764166,0.0033305578684429643
Christchurch 14-m CFA pile post-blast,SKS03,4,4,2000,20260827,-0.0021463128306605447,-0.004756779010792505,0.00010947364720985397,-0.002235684775686789,0,2000,0,2000,347,1.8376722817764166,0.0033305578684429643
