test,event,pile,layout,additional_stations_b,snapshots,cluster_median_nrmse,cluster_p90_nrmse,cluster_median_mae_mn,cluster_p90_peak_load_relative_error,cluster_p90_peak_depth_error_z_over_l
SKS02,EQM_2,1,uniform_5,5,120,0.23934571734084598,0.2629781554041963,0.06988202942132639,0.0,0.0
SKS02,EQM_2,2,pooled_robust_2,2,120,0.1895079310457512,0.19262082183956591,0.12816638230519478,0.49168265751702434,0.42857142857142855
SKS02,EQM_2,2,pooled_robust_3,3,120,0.16277118650192407,0.17432601940572576,0.09566988717532471,0.0,0.0
SKS02,EQM_2,2,pooled_robust_4,4,120,0.03847231390558985,0.038769553188141306,0.027811384740259737,0.0,0.0
SKS02,EQM_2,2,pooled_robust_5,5,120,0.02517429816745711,0.025491476911907677,0.01524461525974026,0.0,0.0
SKS02,EQM_2,2,static_transfer_2,2,120,0.1249127754577474,0.13339130127530743,0.10857624675324674,0.0,0.0
SKS02,EQM_2,2,static_transfer_3,3,120,0.05444356124334271,0.06618671941029457,0.037830512987013024,0.0,0.0
SKS02,EQM_2,2,static_transfer_4,4,120,0.03711444086266008,0.046105877825449046,0.022032129870129882,0.0,0.0
SKS02,EQM_2,2,static_transfer_5,5,120,0.035641945064379135,0.042654279699545945,0.01901661363636363,0.0,0.0
SKS02,EQM_2,2,trained_SKS02_applied_all_2,2,120,0.1895079310457512,0.19262082183956591,0.12816638230519478,0.49168265751702434,0.42857142857142855
SKS02,EQM_2,2,trained_SKS02_applied_all_3,3,120,0.16277118650192407,0.17432601940572576,0.09566988717532471,0.0,0.0
SKS02,EQM_2,2,trained_SKS02_applied_all_4,4,120,0.03847231390558985,0.038769553188141306,0.027811384740259737,0.0,0.0
SKS02,EQM_2,2,trained_SKS02_applied_all_5,5,120,0.02517429816745711,0.025491476911907677,0.01524461525974026,0.0,0.0
SKS02,EQM_2,2,trained_SKS03_applied_all_2,2,120,0.1234022201829304,0.13170474936656693,0.09566988717532471,0.3158154249776416,0.1428571428571429
SKS02,EQM_2,2,trained_SKS03_applied_all_3,3,120,0.17577853029471113,0.18106190810247727,0.11264258766233767,0.4692379734407704,0.42857142857142855
SKS02,EQM_2,2,trained_SKS03_applied_all_4,4,120,0.04244528547573867,0.048467134855430846,0.029877131493506494,0.0,0.0
SKS02,EQM_2,2,trained_SKS03_applied_all_5,5,120,0.035641945064379135,0.042654279699545945,0.01901661363636363,0.0,0.0
SKS02,EQM_2,2,uniform_2,2,120,0.15901574452556394,0.16622444963252722,0.09833028409090909,0.3967569459453929,0.2857142857142857
SKS02,EQM_2,2,uniform_3,3,120,0.1325295346448262,0.142742319631966,0.07046134902597403,0.3158154249776416,0.1428571428571429
SKS02,EQM_2,2,uniform_4,4,120,0.13211348928636582,0.14236912131602658,0.06605765584415585,0.3158154249776416,0.1428571428571429
SKS02,EQM_2,2,uniform_5,5,120,0.035641945064379135,0.042654279699545945,0.01901661363636363,0.0,0.0
SKS02,EQM_3,1,pooled_robust_2,2,120,0.24050440622242458,0.24971271916129978,0.1561168786573472,0.3790370712692579,0.7142857142857142
SKS02,EQM_3,1,pooled_robust_3,3,120,0.19542746428075652,0.23149114370042728,0.10860483094928475,0.0,0.0
SKS02,EQM_3,1,pooled_robust_4,4,120,0.14691712289962086,0.17835062722534556,0.06424379917100129,0.0,0.0
SKS02,EQM_3,1,pooled_robust_5,5,120,0.08062830711326127,0.08303642578789897,0.035144521293888176,0.0,0.0
SKS02,EQM_3,1,static_transfer_2,2,120,0.2728033687184471,0.31395266404274935,0.14565030559167752,0.0,0.0
SKS02,EQM_3,1,static_transfer_3,3,120,0.2477524126054681,0.29411670636471016,0.1328761584308626,0.0,0.0
SKS02,EQM_3,1,static_transfer_4,4,120,0.2566488758765384,0.3030737758300293,0.12919972285435627,0.0,0.0
SKS02,EQM_3,1,static_transfer_5,5,120,0.23730203522808632,0.2799446960264155,0.08660758899544863,0.0,0.0
SKS02,EQM_3,1,trained_SKS02_applied_all_2,2,120,0.24050440622242458,0.24971271916129978,0.1561168786573472,0.3790370712692579,0.7142857142857142
SKS02,EQM_3,1,trained_SKS02_applied_all_3,3,120,0.19542746428075652,0.23149114370042728,0.10860483094928475,0.0,0.0
SKS02,EQM_3,1,trained_SKS02_applied_all_4,4,120,0.14691712289962086,0.17835062722534556,0.06424379917100129,0.0,0.0
SKS02,EQM_3,1,trained_SKS02_applied_all_5,5,120,0.08062830711326127,0.08303642578789897,0.035144521293888176,0.0,0.0
SKS02,EQM_3,1,trained_SKS03_applied_all_2,2,120,0.3628663085850749,0.41463397197432683,0.21972878738621587,0.3790370712692579,0.7142857142857142
SKS02,EQM_3,1,trained_SKS03_applied_all_3,3,120,0.20681977138255642,0.23859852365235842,0.12337919010078027,0.3630084459740059,0.7142857142857142
